Position,"Track Name",Artist,URL
1,"Espirra o Lança","Dj Serpinha",https://open.spotify.com/track/5H25WPPytKQcMfIPu0oEBO
2,"Linda Bela - Ao Vivo","Elias Monkbel",https://open.spotify.com/track/354mVxDquP5bQK7rUz6Omy
3,"Disco Arranhado - Funk Remix",Malu,https://open.spotify.com/track/2Gjt4rUHBUH0rMKpBg0hF4
4,"C'est beau la bourgeoisie - Radio Edit",Discobitch,https://open.spotify.com/track/22OZbdiOvRdocdyafcGAgI
5,Chá,"REAL PS",https://open.spotify.com/track/1jmKwXRbjrFLnjxQ32GizK
6,YKWIM?,"Yot Club",https://open.spotify.com/track/7ejeQLLLGjVriLS7cojERB
7,"Heartbreak Anniversary",Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
8,"Vida Louca","Mc Poze do Rodo",https://open.spotify.com/track/7IG7laqVpcvIIULrwWP5SA
9,"Eu Catuquei Vs Magrão (feat. DJ GBS)","DJ Patrick Muniz",https://open.spotify.com/track/7CWx8dCv58ZqcTV2DeqpEB
10,telepatía,"Kali Uchis",https://open.spotify.com/track/6tDDoYIxWvMLTdKpjFkc1B
11,"Batom de Cereja - Ao Vivo","Israel & Rodolffo",https://open.spotify.com/track/2MZQAvsA7aZDssppBLRxYp
12,"I Hear a Symphony","Cody Fry",https://open.spotify.com/track/3iJya7m7trpGv570Ske30n
13,"Leave The Door Open","Bruno Mars",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
14,"Cloud 9","Beach Bunny",https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
15,"Baby Me Atende","Matheus Fernandes",https://open.spotify.com/track/5R9KPXQVeyqsHZoPLMgfNy
16,"On The Ground",ROSÉ,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
17,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
18,"Anota Placa","Tz da Coronel",https://open.spotify.com/track/3QUriWUE8WnWLpWxHA52k4
19,Gone,ROSÉ,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
20,"Som do Paredão","MC Vertinho",https://open.spotify.com/track/5r3Oc4rate3KVNH2upeFX8
21,"Tapão Na Raba","Raí Saia Rodada",https://open.spotify.com/track/58pgi1RpcU2fVJsxhm7BIr
22,"Ritmo Envolvente","DJ Menor 7 DJ Menor da Dz7",https://open.spotify.com/track/64112Wjl20AyJnCP5umn3F
